	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
37	human_tcga	14.052508186855402	0.05858329320820005	dummy	{u'method': u'dummy', u'n': 3}	human_tcga_1	-0.05360155299969449
38	human_tcga	11.636969964662837	0.06299024918748011	dummy	{u'method': u'dummy', u'n': 4}	human_tcga_2	-0.06348413834630336
39	human_tcga	10.177798571989909	0.05971764420122094	dummy	{u'method': u'dummy', u'n': 5}	human_tcga_3	-0.08417075505127677
40	human_tcga	53.34034034682526	0.056436249213980764	dummy	{u'method': u'dummy', u'n': 6}	human_tcga_4	-0.011327461398031608
41	human_tcga	44.14291182012618	0.05489938747741953	dummy	{u'method': u'dummy', u'n': 7}	human_tcga_5	-0.011653872064681776
42	human_gtex	26.631729726839144	0.003311080699383771	dummy	{u'method': u'dummy', u'n': 2}	human_gtex_0	-0.07565577785619637
43	human_gtex	18.900261514409966	0.00335772843152961	dummy	{u'method': u'dummy', u'n': 3}	human_gtex_1	-0.12854103951415988
44	human_gtex	15.917938784113678	0.0032900917332205166	dummy	{u'method': u'dummy', u'n': 4}	human_gtex_2	-0.14267235930400077
45	human_gtex	13.976188707884642	0.0033109436300961057	dummy	{u'method': u'dummy', u'n': 5}	human_gtex_3	-0.1486089175231535
46	human_gtex	62.081662721282186	0.003266923952830278	dummy	{u'method': u'dummy', u'n': 6}	human_gtex_4	-0.010207556668676907
47	human_gtex	61.18310778099057	0.003271476638848505	dummy	{u'method': u'dummy', u'n': 7}	human_gtex_5	-0.012402929011642335
48	human_seek_gpl5175	22.10491261528919	0.04540502117685593	dummy	{u'method': u'dummy', u'n': 2}	human_seek_gpl5175_0	-0.06001144516530622
49	human_seek_gpl5175	16.340607798254833	0.0490535304663243	dummy	{u'method': u'dummy', u'n': 3}	human_seek_gpl5175_1	-0.10771525988078293
50	human_seek_gpl5175	13.26612038257945	0.045946660680635416	dummy	{u'method': u'dummy', u'n': 4}	human_seek_gpl5175_2	-0.12346191496944701
51	human_seek_gpl5175	11.891976722071206	0.04788468765360641	dummy	{u'method': u'dummy', u'n': 5}	human_seek_gpl5175_3	-0.14248274728631433
52	human_seek_gpl5175	53.35233236132931	0.04409834156209869	dummy	{u'method': u'dummy', u'n': 6}	human_seek_gpl5175_4	-0.01246333536964393
53	human_seek_gpl5175	45.18475989331097	0.044938269920784944	dummy	{u'method': u'dummy', u'n': 7}	human_seek_gpl5175_5	-0.019905196667768583
54	ecoli_precise2	18.303519041319454	0.011879966940051763	dummy	{u'method': u'dummy', u'n': 2}	ecoli_precise2_0	-0.07156932644683049
55	ecoli_precise2	13.172719004168082	0.011666526210460755	dummy	{u'method': u'dummy', u'n': 3}	ecoli_precise2_1	-0.11339326681341838
56	ecoli_precise2	11.002716891635162	0.011660212352618802	dummy	{u'method': u'dummy', u'n': 4}	ecoli_precise2_2	-0.15082437457057857
57	ecoli_precise2	9.54166967616601	0.013114401051045218	dummy	{u'method': u'dummy', u'n': 5}	ecoli_precise2_3	-0.19601014781222126
58	ecoli_precise2	45.52437871908611	0.01085504341687184	dummy	{u'method': u'dummy', u'n': 6}	ecoli_precise2_4	-0.014782264631406115
59	ecoli_precise2	40.458500096764105	0.011199617573724403	dummy	{u'method': u'dummy', u'n': 7}	ecoli_precise2_5	-0.020503352970470082
60	progesterone	7.721080413290982	0.002458656024113551	dummy	{u'method': u'dummy', u'n': 3}	progesterone_1	-0.09720694577595401
61	progesterone	5.735707725403423	0.0028561920286992106	dummy	{u'method': u'dummy', u'n': 4}	progesterone_2	-0.09772643471395329
62	progesterone	7.944357674210077	0.002874725972306201	dummy	{u'method': u'dummy', u'n': 5}	progesterone_3	-0.14510617505934656
63	progesterone	7.02596907584229	0.002973687441819981	dummy	{u'method': u'dummy', u'n': 6}	progesterone_4	-0.12646067363982877
64	progesterone	7.651105922658512	0.002874725972306201	dummy	{u'method': u'dummy', u'n': 7}	progesterone_5	-0.1958129630604176
65	ecoli_colombos	4.240292734150396	0.177261285219462	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_0	-0.011796245332039297
66	ecoli_colombos	3.1002208838474696	0.15449534701603954	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_1	-0.11445576991134174
67	ecoli_colombos	3.7208685046109764	0.17868754642748	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_2	-0.02116062542284052
68	ecoli_colombos	2.778625398107948	0.17333205549684708	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_3	-0.1075232778572496
69	ecoli_colombos	3.2666725347043917	0.18327616466917274	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_4	-0.019221361261114064
70	ecoli_colombos	2.5511982528940793	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_5	-0.10025391905480546
71	ecoli_colombos	3.0473051363653694	0.1861743970861941	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_6	-0.03257394792615163
72	ecoli_colombos	2.375535204972899	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_7	-0.09880188543877778
73	ecoli_colombos	2.847265854125833	0.1861743970861941	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_8	-0.027087059594378928
74	ecoli_colombos	2.234970100829912	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_9	-0.13804052668094002
75	ecoli_colombos	2.6921122903534647	0.19383820615773853	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_10	-0.017098736403540447
76	ecoli_colombos	2.1329620737374704	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_11	-0.12928326950392227
77	ecoli_dream5	4.634000257076098	0.03153594074290337	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_0	-0.11909235155218316
78	ecoli_dream5	3.198391656864522	0.030051265713988657	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_1	-0.20040771330760315
79	ecoli_dream5	4.071607766241705	0.03153594074290337	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_2	-0.1760615223580488
80	ecoli_dream5	3.1532589209975246	0.03183245982467258	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_3	-0.30396647427832896
81	ecoli_dream5	4.0903118948489405	0.03153594074290337	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_4	-0.17765840908372474
82	ecoli_dream5	3.0137559145569313	0.03364312827336891	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_5	-0.3182601780120529
83	ecoli_dream5	4.000166898587591	0.03422293151499004	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_6	-0.20534578269960224
84	ecoli_dream5	2.9809541600160467	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_7	-0.3349886484912165
85	ecoli_dream5	3.8009949977638686	0.03655744267933609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_8	-0.20280635014819856
86	ecoli_dream5	2.924451336710101	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_9	-0.34765635032963066
87	ecoli_dream5	3.7271515807854896	0.03655744267933609	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	ecoli_dream5_10	-0.21908239885160785
88	ecoli_dream5	2.903621896318371	0.034917854473694485	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	ecoli_dream5_11	-0.34647169330752164
89	yeast_gpl2529	4.399391487300889	0.05168126406577429	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_0	-0.12105854545984499
90	yeast_gpl2529	3.67389722211539	0.04933255380620028	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_1	-0.09358336719122624
91	yeast_gpl2529	4.423208252919535	0.03591154933611971	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	yeast_gpl2529_2	-0.13336563579125496
