	Unnamed: 0	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
37	37	ecoli_precise2	13.172719004168082	0.011666526210460756	dummy	{u'method': u'dummy', u'n': 100}	ecoli_precise2_1	-0.11339326681341838
38	38	ecoli_precise2	11.002716891635163	0.011660212352618802	dummy	{u'method': u'dummy', u'n': 150}	ecoli_precise2_2	-0.15082437457057854
39	39	ecoli_precise2	9.54166967616601	0.013114401051045218	dummy	{u'method': u'dummy', u'n': 200}	ecoli_precise2_3	-0.19601014781222129
40	40	ecoli_colombos	4.240292734150397	0.177261285219462	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_0	-0.011796245332039296
41	41	ecoli_colombos	3.1002208838474696	0.15449534701603956	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_1	-0.11445576991134175
42	42	ecoli_colombos	3.720868504610976	0.17868754642748003	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_2	-0.02116062542284052
43	43	ecoli_colombos	2.7786253981079483	0.17333205549684708	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_3	-0.1075232778572496
44	44	ecoli_colombos	3.266672534704392	0.18327616466917274	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_4	-0.019221361261114064
45	45	ecoli_colombos	2.5511982528940798	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_5	-0.10025391905480546
46	46	ecoli_colombos	3.0473051363653694	0.1861743970861941	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_6	-0.032573947926151633
47	47	ecoli_colombos	2.375535204972899	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_7	-0.09880188543877777
48	48	ecoli_colombos	2.847265854125833	0.1861743970861941	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_8	-0.027087059594378928
49	49	ecoli_colombos	2.234970100829912	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_9	-0.13804052668094002
50	50	ecoli_colombos	2.6921122903534647	0.19383820615773853	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'complete'}	ecoli_colombos_10	-0.017098736403540447
51	51	ecoli_colombos	2.1329620737374704	0.17519688589697213	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'average'}	ecoli_colombos_11	-0.12928326950392227
